,Num Nodes,App A,App B,Run Iteration,App A Time Average,App B Time Average,App A MPI Time Average,App B MPI Time Average,App A Total Messages Sent,App B Total Messages Sent,App A Total Bytes Sent,App B Total Bytes Sent
177,8,minife,amg,2,384.0,342.0,12.124017857142857,12.993504464285715,6788000,106441449,382248662610.0,1008232000000.0
178,8,lammps,amg,3,347.0,340.0,13.005848214285717,10.346607142857144,457408,106441449,670420822000.0,1008232000000.0
179,8,minivite,lammps,1,369.0,355.0,51.0140625,19.54649553571429,24089720,457408,1134700459640.0,670420822000.0
180,8,amg,laghos,1,343.0,351.0,13.716986607142855,76.33236607142855,106441449,801311390,1008232000000.0,633722271800.0
181,1,beatnik,minife,2,375.0,384.0,83.11785714285715,10.428749999999999,375894,637048,1305996005380.0,40726202806.0
182,1,lammps,lammps,3,273.0,271.0,4.395892857142857,3.5428571428571423,44688,44688,72722088150.0,0.0
183,8,fiesta,laghos,2,353.5,343.0,57.56272321428571,69.028125,645120,801311390,1640000000000.0,633722271800.0
184,8,amg,amg,2,342.0,343.0,13.216249999999999,14.815669642857143,106441449,106441449,1008232000000.0,0.0
185,8,amg,amg,3,345.0,340.0,16.74276785714286,11.071540178571427,106441449,106441449,1008232000000.0,0.0
186,8,beatnik,laghos,0,411.08035714285717,385.0,117.00446428571429,111.54464285714286,19996182,801311390,10926550043000.0,633722271800.0
187,8,lammps,fiesta,0,351.0,361.41964285714283,16.3825,84.53236607142857,457408,645120,670420822000.0,1640000000000.0
188,8,tricount,amg,0,394.0,347.0,220.75223214285714,23.816071428571426,7120960,106441449,10200000956600.0,1008232000000.0
189,1,beatnik,minivite,1,370.0,443.0,84.9964285714286,26.625,375894,747720,1305996005380.0,143780111184.0
190,8,minife,minivite,0,385.0,373.0,13.177120535714286,54.862723214285715,6788000,24089720,382248662610.0,1134700459640.0
191,8,lammps,amg,2,354.0,342.0,18.519330357142856,12.653950892857145,457408,106441449,670420822000.0,1008232000000.0
