,App A,App B,Num Nodes,App A Time Average Mean,App A Time Average Median,App A Time Average Std,App B Time Average Mean,App B Time Average Median,App B Time Average Std,App A MPI Time Average Mean,App A MPI Time Average Median,App A MPI Time Average Std,App B MPI Time Average Mean,App B MPI Time Average Median,App B MPI Time Average Std,App A Total Messages Sent Mean,App A Total Messages Sent Median,App A Total Messages Sent Std,App B Total Messages Sent Mean,App B Total Messages Sent Median,App B Total Messages Sent Std,App A Total Bytes Sent Mean,App A Total Bytes Sent Median,App A Total Bytes Sent Std,App B Total Bytes Sent Mean,App B Total Bytes Sent Median,App B Total Bytes Sent Std
41,minife,fiesta,8,383.75,384.0,0.4999999999999952,353.4994419642857,353.06919642857144,1.1288176541012642,12.351495535714285,12.36747767857143,0.10495481595837935,60.853515625,60.05055803571429,3.413169350293775,6788000.0,6788000.0,0.0,645120.0,645120.0,0.0,382248662610.0,382248662610.0,0.0,1640000000000.0,1640000000000.0,0.0
42,minife,kripke,8,387.25,384.5,5.8523499553598075,356.25,354.5,4.573474244670748,14.811283482142855,12.560468749999998,4.9403563195496645,18.738950892857144,17.375334821428574,3.751210620292958,6788000.0,6788000.0,0.0,302720.0,302720.0,0.0,382248662610.0,382248662610.0,0.0,388038679360.0,388038679360.0,0.0
43,minife,laghos,8,384.4045758928571,384.3091517857143,0.49246749270609197,328.75,327.0,7.274384280931734,12.477957589285715,12.393459821428571,0.30998235756532133,53.81623883928572,52.31316964285715,6.4979309918806525,6788000.0,6788000.0,0.0,801311390.0,801311390.0,0.0,382248662610.0,382248662610.0,0.0,633722271800.0,633722271800.0,0.0
44,minife,lammps,1,384.25,384.5,0.9574271077563381,271.5,272.5,4.654746681256314,10.59013392857143,10.62580357142857,0.5381306294000271,4.5475892857142854,4.122053571428571,1.174864593623597,637048.0,637048.0,0.0,44688.0,44688.0,0.0,40726202806.0,40726202806.0,0.0,72722088150.0,72722088150.0,0.0
45,minife,lammps,8,384.25,384.0,1.2583057392117898,355.0,355.0,4.163331998932265,12.657176339285714,12.533169642857143,0.9191954869477869,18.431328125,18.57948660714286,3.698854798550168,6788000.0,6788000.0,0.0,457408.0,457408.0,0.0,382248662610.0,382248662610.0,0.0,670420822000.0,670420822000.0,0.0
46,minife,minife,1,384.75,385.0,0.5,383.25,383.0,0.5000000000000047,11.10125,11.083928571428572,0.07915019520734325,10.211205357142857,10.015267857142856,0.4831417425001571,637048.0,637048.0,0.0,637048.0,637048.0,0.0,40726202806.0,40726202806.0,0.0,0.0,0.0,0.0
47,minife,minife,8,384.5,384.0,1.7320508075688772,385.0,384.5,2.160246899469291,12.846986607142856,12.651997767857143,0.9714072736868417,13.0118359375,12.462321428571428,1.3199361895265884,6788000.0,6788000.0,0.0,6788000.0,6788000.0,0.0,382248662610.0,382248662610.0,0.0,0.0,0.0,0.0
48,minife,minivite,1,383.0,383.5,1.4142135623730885,445.75,446.5,3.403429642777018,10.120624999999999,10.472946428571426,1.1474512433508217,30.94120535714286,31.090178571428574,2.512523282183901,637048.0,637048.0,0.0,747720.0,747720.0,0.0,40726202806.0,40726202806.0,0.0,143780111184.0,143780111184.0,0.0
49,minife,minivite,8,386.25,386.5,2.061552812808831,373.25,373.5,2.499999999999999,14.501110491071428,14.513102678571428,1.36346567713824,54.92795758928572,54.93493303571429,3.486474404402527,6788000.0,6788000.0,0.0,24089720.0,24089720.0,0.0,382248662610.0,382248662610.0,0.0,1134700459640.0,1134700459640.0,0.0
50,minife,quicksilver,8,384.0,384.0,0.8164965809277203,295.96484375,295.4296875,3.7548227451713694,12.413002232142858,12.45232142857143,0.24292676800610635,134.89469866071428,134.27698660714285,3.470574811954172,6788000.0,6788000.0,0.0,762710.0,762710.0,0.0,382248662610.0,382248662610.0,0.0,160110400.0,160110400.0,0.0
51,minife,tricount,1,385.10267857142856,384.7053571428571,1.3297977411294328,281.5,281.5,0.5773502691896257,10.796517857142856,10.687410714285715,0.3545519862719537,51.08125,51.25714285714286,0.6270112197783144,637048.0,637048.0,0.0,243320.0,243320.0,0.0,40726202806.0,40726202806.0,0.0,2510000237640.0,2510000237640.0,0.0
